"method","fixture","model","mode","n_requested","n_evaluated_null","n_refused_null","n_failed_null","n_fit_failed_null","n_boundary_null","n_evaluated_alt","n_refused_alt","n_failed_alt","n_fit_failed_alt","n_boundary_alt","type_I_error","type_I_lower","type_I_upper","type_I_unconditional","power_at_alt","power_lower","power_upper","power_unconditional","coverage_at_alt","coverage_lower","coverage_upper","reason"
"asymptotic_wald_z","interior","lmm","release",2500,2500,0,0,0,511,2500,0,0,0,484,0.0796,0.0696233454934641,0.0908666317792826,0.0796,0.9404,0.930426660949785,0.949021992734997,0.9404,0.9272,0.916347025889428,0.936742131363385,NA
"satterthwaite","interior","lmm","release",2500,2000,500,0,0,499,2022,478,0,0,478,0.0445,0.0363026651284068,0.0544437649448146,0.0356,0.898120672601385,0.884172007045749,0.910559482424919,0.7264,0.958456973293769,0.948855035465255,0.966320232533886,NA
"kenward_roger","interior","lmm","release",2500,2082,418,0,0,418,2095,405,0,0,405,0.031700288184438,0.0249947231777444,0.0401307724567594,0.0264,0.882577565632458,0.868087134243785,0.895667552068111,0.7396,0.975178997613365,0.96759675786331,0.981021820082407,NA
"profile","interior","lmm","release",2500,974,1526,0,0,509,965,1535,0,0,503,0.0482546201232033,0.0364804813302319,0.0635781303578978,0.0188,0.907772020725389,0.887863895449788,0.924446511825684,0.3504,0.95440414507772,0.939343823637428,0.96586103936205,NA
"bootstrap","interior","lmm","release",500,500,0,0,0,104,500,0,0,0,90,0.062,0.0440192091426816,0.0866597131016382,0.062,0.904,0.875013037572485,0.926826495334581,0.904,0.918,0.890645140842611,0.938980910531531,NA
"bootstrap_lrt","interior","lmm","release",500,500,0,0,0,121,500,0,0,0,100,0.038,0.0244601180558304,0.0585847725306439,0.038,0.876,0.844212587112216,0.902053908860697,0.876,NA,NA,NA,NA
"asymptotic_wald_z","boundary","lmm","release",2500,2500,0,0,0,1672,2500,0,0,0,1614,0.0536,0.0454363868129047,0.0631333702150546,0.0536,0.9932,0.989136605374268,0.995750034038389,0.9932,0.9592,0.950714812926488,0.966276153858372,NA
"satterthwaite","boundary","lmm","release",2500,825,1675,0,0,1664,885,1615,0,0,1605,0.0181818181818182,0.0110488899816395,0.0297809435897229,0.006,0.986440677966102,0.976449943260816,0.992226744190697,0.3492,0.963841807909604,0.949401739121798,0.974272547054383,NA
"kenward_roger","boundary","lmm","release",2500,1063,1437,0,0,1437,1046,1454,0,0,1454,0.0159924741298213,0.0100085852587105,0.0254619699093692,0.0068,0.98565965583174,0.976474614842516,0.991290557187641,0.4124,0.977055449330784,0.966086154891581,0.984533571177411,NA
"profile","boundary","lmm","release",2500,671,1829,0,0,1623,658,1842,0,0,1596,0.0312965722801788,0.0205595736862102,0.0473696535737798,0.0084,0.98936170212766,0.978205250735481,0.994837449169591,0.2604,0.957446808510638,0.939186355522173,0.970397037867351,NA
"bootstrap","boundary","lmm","release",500,500,0,0,0,320,500,0,0,0,308,0.022,0.0123280082699276,0.0389608612113164,0.022,0.984,0.968748891466606,0.991870746966612,0.984,0.952,0.92957280316411,0.967534793058647,NA
"bootstrap_lrt","boundary","lmm","release",500,500,0,0,0,339,500,0,0,0,322,0.036,0.0228910609802927,0.0561843269680277,0.036,0.99,0.976806900244269,0.99572124610341,0.99,NA,NA,NA,NA
"asymptotic_wald_z","reduced_rank","lmm","release",2500,2500,0,0,0,1653,2500,0,0,0,1556,0.0616,0.0528312589512699,0.0717139504597009,0.0616,0.9336,0.923159749913022,0.942709769246201,0.9336,0.942,0.932141249411913,0.950502494749471,NA
"satterthwaite","reduced_rank","lmm","release",2500,914,1586,0,0,1586,920,1580,0,0,1579,0.0306345733041575,0.0212788289481522,0.0439192052500225,0.0112,0.878260869565217,0.855544298829102,0.897831719701676,0.3232,0.964130434782609,0.950054523428704,0.974346510803026,NA
"kenward_roger","reduced_rank","lmm","release",2500,1062,1438,0,0,1438,1105,1395,0,0,1395,0.0329566854990584,0.023791024277298,0.0454889405895184,0.014,0.871493212669683,0.850466837815216,0.88994559307745,0.3852,0.968325791855204,0.956268362834558,0.977138294868133,NA
"profile","reduced_rank","lmm","release",2500,1260,1240,0,0,1537,1307,1193,0,0,1579,0.0476190476190476,0.0371730264189105,0.0608151017251465,0.024,0.909716908951798,0.892955630064623,0.924076813327525,0.4756,0.956388676358072,0.943914819358336,0.966187612916951,NA
"bootstrap","reduced_rank","lmm","release",500,500,0,0,0,326,500,0,0,0,316,0.05,0.0340937452438494,0.0727681611715476,0.05,0.894,0.863949069989267,0.91804294972703,0.894,0.93,0.904202810148083,0.949240257054982,NA
"bootstrap_lrt","reduced_rank","lmm","release",500,500,0,0,0,307,500,0,0,0,299,0.036,0.0228910609802927,0.0561843269680277,0.036,0.858,0.824670332675225,0.885870639554304,0.858,NA,NA,NA,NA
"asymptotic_wald_z","small_group","lmm","release",2500,2500,0,0,0,112,2500,0,0,0,96,0.0764,0.0666248311295466,0.0874749651899955,0.0764,0.7188,0.700851233156727,0.736077389518637,0.7188,0.9272,0.916347025889428,0.936742131363385,NA
"satterthwaite","small_group","lmm","release",2500,2402,98,0,0,98,2383,117,0,0,117,0.0620316402997502,0.0530669882390135,0.0723949193667571,0.0596,0.669744020142677,0.650601276544491,0.688340380853951,0.6384,0.944607637431809,0.934687506088866,0.953096637331773,NA
"kenward_roger","small_group","lmm","release",2500,2423,77,0,0,77,2415,85,0,0,85,0.0499380932728023,0.0419552527731951,0.0593457440130387,0.0484,0.65424430641822,0.635043842334571,0.672954847403129,0.632,0.961076604554865,0.952601875585531,0.968086825147163,NA
"profile","small_group","lmm","release",2500,2476,24,0,0,102,2479,21,0,0,121,0.0698707592891761,0.0604813914963201,0.0805927314385645,0.0692,0.699072206534893,0.680720358218807,0.716808044770245,0.6932,0.932230738200887,0.921652690559988,0.941471288776932,NA
"bootstrap","small_group","lmm","release",500,500,0,0,0,15,500,0,0,0,23,0.046,0.0308451083708162,0.0680777927682732,0.046,0.598,0.554434369595681,0.640071259673855,0.598,0.912,0.88392352793461,0.933794015525071,NA
"bootstrap_lrt","small_group","lmm","release",500,500,0,0,0,23,500,0,0,0,26,0.052,0.0357302651157053,0.0751011439378455,0.052,0.654,0.611272934925921,0.694378768211921,0.654,NA,NA,NA,NA
"glmm_wald_joint_laplace","glmm_binomial","glmm","release",1000,1000,0,0,0,179,1000,0,0,0,157,0.052,0.0398730362837774,0.06755573931928,0.052,0.274,0.247260824775437,0.302468870060034,0.274,0.946,0.930207845153947,0.958378686276937,NA
"wald_z_working_hessian","glmm_binomial","glmm","release",2500,2500,0,0,0,500,2500,0,0,0,465,0.0432,0.0359066803027093,0.0518949886273351,0.0432,0.2672,0.250221210566789,0.284893125087577,0.2672,0.9604,0.952022372460435,0.967364912181876,NA
"glmm_parametric_bootstrap","glmm_binomial","glmm","release",500,500,0,0,0,87,500,0,0,0,97,0.068,0.0490665074249069,0.0935209227338743,0.068,0.3,0.261481932140698,0.341567804043923,0.3,0.934,0.908760598839147,0.952621473640226,NA
