"scenario","scale_var","scale_value","n_rows","n_subject","n_item","n_random_effect_coefficients","random_terms","formula","engine","n_reps","n_ok","n_fail","median_sec","min_sec","max_sec","fits_per_sec","speedup_vs_lme4"
"crossed","subject/item levels",10,200,10,10,20,"(1 | subject) + (1 | item)","y ~ x + (1 | subject) + (1 | item)","lme4",5,5,0,0.00799999999999912,0.00799999999999912,0.0130000000000017,125.000000000014,1
"crossed","subject/item levels",10,200,10,10,20,"(1 | subject) + (1 | item)","y ~ x + (1 | subject) + (1 | item)","mixeff",5,5,0,0.00399999999999778,0.00300000000000011,0.004999999999999,250.000000000139,2.00000000000089
"crossed","subject/item levels",15,450,15,15,30,"(1 | subject) + (1 | item)","y ~ x + (1 | subject) + (1 | item)","lme4",5,5,0,0.0110000000000028,0.00999999999999801,0.0129999999999981,90.9090909090679,1
"crossed","subject/item levels",15,450,15,15,30,"(1 | subject) + (1 | item)","y ~ x + (1 | subject) + (1 | item)","mixeff",5,5,0,0.004999999999999,0.00400000000000134,0.00500000000000256,200.00000000004,2.200000000001
"crossed","subject/item levels",20,800,20,20,40,"(1 | subject) + (1 | item)","y ~ x + (1 | subject) + (1 | item)","lme4",5,5,0,0.0110000000000028,0.0109999999999992,0.0139999999999993,90.9090909090679,1
"crossed","subject/item levels",20,800,20,20,40,"(1 | subject) + (1 | item)","y ~ x + (1 | subject) + (1 | item)","mixeff",5,5,0,0.004999999999999,0.004999999999999,0.00700000000000145,200.00000000004,2.200000000001
"crossed","subject/item levels",30,1800,30,30,60,"(1 | subject) + (1 | item)","y ~ x + (1 | subject) + (1 | item)","lme4",5,5,0,0.0199999999999996,0.0189999999999984,0.0210000000000008,50.0000000000011,1
"crossed","subject/item levels",30,1800,30,30,60,"(1 | subject) + (1 | item)","y ~ x + (1 | subject) + (1 | item)","mixeff",5,5,0,0.00799999999999912,0.0069999999999979,0.0139999999999993,125.000000000014,2.50000000000022
"crossed_slope","subject/item levels",10,200,10,10,30,"(1 + x | subject) + (1 | item)","y ~ x + (1 + x | subject) + (1 | item)","lme4",5,5,0,0.0110000000000028,0.0109999999999992,0.017000000000003,90.9090909090679,1
"crossed_slope","subject/item levels",10,200,10,10,30,"(1 + x | subject) + (1 | item)","y ~ x + (1 + x | subject) + (1 | item)","mixeff",5,5,0,0.004999999999999,0.00400000000000134,0.00500000000000256,200.00000000004,2.200000000001
